Stat Name,2022 Win,2022 Loss,2022 Win %,Last 3 Win,Last 3 Loss,Last 3 Win %,Last 1 Win,Last 1 Loss,Last 1 Win %,Home Win,Home Loss,Home Win %,Away Win,Away Loss,Away Win %
points-per-game,74,74,0.5,83,63,0.5684931506849316,83,62,0.5724137931034483,71,77,-0.5202702702702703,82,66,0.5540540540540541
average-scoring-margin,90,58,0.6081081081081081,95,53,0.6418918918918919,92,54,0.6301369863013698,80,68,0.5405405405405406,84,64,0.5675675675675675
offensive-efficiency,71,74,-0.5103448275862069,84,63,0.5714285714285714,82,65,0.5578231292517006,76,71,0.5170068027210885,83,63,0.5684931506849316
floor-percentage,77,71,0.5202702702702703,83,63,0.5684931506849316,78,67,0.5379310344827586,73,74,-0.5034013605442177,83,64,0.564625850340136
1st-half-points-per-game,74,70,0.5138888888888888,81,65,0.5547945205479452,76,65,0.5390070921985816,69,78,-0.5306122448979592,79,67,0.541095890410959
2nd-half-points-per-game,66,82,-0.5540540540540541,83,64,0.564625850340136,75,65,0.5357142857142857,68,78,-0.5342465753424658,75,71,0.5136986301369864
overtime-points-per-game,59,53,0.5267857142857143,18,17,0.5142857142857142,7,1,0.875,30,33,-0.5238095238095238,47,41,0.5340909090909091
average-1st-half-margin,80,68,0.5405405405405406,82,62,0.5694444444444444,83,59,0.5845070422535211,76,71,0.5170068027210885,80,68,0.5405405405405406
average-2nd-half-margin,88,59,0.5986394557823129,87,57,0.6041666666666666,88,54,0.6197183098591549,86,61,0.5850340136054422,84,63,0.5714285714285714
average-overtime-margin,63,49,0.5625,20,14,0.5882352941176471,4,4,0.5,35,29,0.546875,49,39,0.5568181818181818
points-from-2-pointers,75,72,0.5102040816326531,76,65,0.5390070921985816,75,68,0.5244755244755245,74,71,0.5103448275862069,73,74,-0.5034013605442177
points-from-3-pointers,78,68,0.5342465753424658,73,70,0.5104895104895105,76,61,0.5547445255474452,74,71,0.5103448275862069,82,62,0.5694444444444444
percent-of-points-from-2-pointers,73,75,-0.5067567567567568,75,72,0.5102040816326531,71,77,-0.5202702702702703,80,67,0.54421768707483,75,72,0.5102040816326531
percent-of-points-from-3-pointers,81,65,0.5547945205479452,74,74,0.5,73,73,0.5,71,75,-0.5136986301369864,73,73,0.5
percent-of-points-from-free-throws,72,75,-0.5102040816326531,73,75,-0.5067567567567568,81,67,0.5472972972972973,81,66,0.5510204081632653,68,80,-0.5405405405405406
shooting-pct,71,77,-0.5202702702702703,83,65,0.5608108108108109,78,69,0.5306122448979592,66,81,-0.5510204081632653,75,71,0.5136986301369864
effective-field-goal-pct,75,71,0.5136986301369864,89,58,0.6054421768707483,79,67,0.541095890410959,69,78,-0.5306122448979592,79,68,0.5374149659863946
three-point-pct,77,69,0.5273972602739726,78,68,0.5342465753424658,83,65,0.5608108108108109,72,75,-0.5102040816326531,81,67,0.5472972972972973
