Stat Name,Rating Win,Rating Loss,Rating Win %,Hi Win,Hi Loss,Hi Win %,Low Win,Low Loss,Low Win %,Last Win,Last Loss,Last Win %
schedule-strength-by-other,86,61,0.5850340136054422,68,78,-0.5342465753424658,72,75,-0.5102040816326531,63,85,-0.5743243243243243
future-sos-by-other,83,63,0.5684931506849316,68,79,-0.5374149659863946,67,76,-0.5314685314685315,63,85,-0.5743243243243243
season-sos-by-other,84,61,0.5793103448275863,63,84,-0.5714285714285714,62,84,-0.5753424657534246,63,85,-0.5743243243243243
sos-basic-by-other,93,54,0.6326530612244898,71,77,-0.5202702702702703,64,84,-0.5675675675675675,54,94,-0.6351351351351351
in-conference-sos-by-other,61,63,-0.5080645161290323,77,70,0.5238095238095238,66,82,-0.5540540540540541,69,79,-0.5337837837837838
non-conference-sos-by-other,80,68,0.5405405405405406,70,78,-0.527027027027027,75,73,0.5067567567567568,68,80,-0.5405405405405406
last-5-games-by-other,97,50,0.6598639455782312,62,85,-0.5782312925170068,64,83,-0.564625850340136,55,93,-0.6283783783783784
last-10-games-by-other,94,54,0.6351351351351351,61,86,-0.5850340136054422,68,79,-0.5374149659863946,56,92,-0.6216216216216216
in-conference-by-other,73,52,0.584,67,77,-0.5347222222222222,63,85,-0.5743243243243243,59,89,-0.6013513513513513
non-conference-by-other,87,60,0.5918367346938775,62,84,-0.5753424657534246,66,82,-0.5540540540540541,61,87,-0.5878378378378378
vs-1-25-by-other,65,45,0.5909090909090909,65,82,-0.5578231292517006,56,91,-0.6190476190476191,63,85,-0.5743243243243243
vs-26-50-by-other,65,60,0.52,66,78,-0.5416666666666666,65,82,-0.5578231292517006,67,81,-0.5472972972972973
vs-51-100-by-other,89,55,0.6180555555555556,73,74,-0.5034013605442177,70,78,-0.527027027027027,57,91,-0.6148648648648649
vs-101-200-by-other,82,60,0.5774647887323944,63,84,-0.5714285714285714,69,77,-0.5273972602739726,65,83,-0.5608108108108109
vs-201-and-up-by-other,86,61,0.5850340136054422,67,81,-0.5472972972972973,68,79,-0.5374149659863946,62,86,-0.581081081081081
first-half-by-other,81,67,0.5472972972972973,58,90,-0.6081081081081081,75,72,0.5102040816326531,68,80,-0.5405405405405406
second-half-by-other,88,57,0.6068965517241379,67,81,-0.5472972972972973,76,72,0.5135135135135135,58,90,-0.6081081081081081
